temperature_K,x1_I,x1_II,source
273.2,0.00538,0.9120,Stephenson
273.2,0.00550,,Gross et al.
282.7,0.00405,0.9030,Stephenson
283.2,0.00414,,Gross et al.
292.6,0.00351,,Stephenson
293.2,0.00349,,Doolittle
293.2,0.00330,0.8981,Ratkovics et al.
293.2,0.00373,0.8792,Ginnings et al.
295.2,0.00366,0.8840,Othmer et al.
298.0,0.00310,0.9009,Yang et al.
298.2,0.00349,0.8948,Ginnings et al.
298.2,,0.8730,Arce et al.
298.2,0.00360,0.8888,Bilgin
298.2,0.00310,0.9030,Conway and Philip
298.2,0.00330,,Conway and Philip
298.2,0.00323,,Lo et al.
298.2,0.00350,0.8930,Lozano
298.2,0.00310,0.9070,Regna and Bruins
298.2,0.00330,0.9013,Sekine et al.
298.2,,0.8930,Sherwood et al.
298.2,0.00321,0.9104,Solimo et al.
298.2,0.0000312,0.9009,Yang et al.
298.2,0.00314,,Yang et al.
303.2,0.00325,0.8888,Ginnings et al.
303.2,0.00298,,Gross et al.
303.2,0.00327,0.8628,Barnes et al.
303.2,0.00350,0.9030,Croker and Bowrey
303.2,0.00290,,Rajapakse et al.
303.2,0.0028792,0.881991,Ramanarao et al.
303.2,,0.8981,Sharma et al.
303.2,,0.9014,Vakili-Nezhaad et al.
304.0,0.00303,0.8750,Stephenson
308.2,,0.8700,Arce et al.
308.2,0.00286,0.8970,Govindarajan and Sabarathinam
312.8,0.00268,0.8750,Stephenson
313.0,0.00270,0.8779,Yang et al.
313.2,0.00255,,Vakili-Nezhaad et al.
318.2,,0.8500,Arce et al.
323.0,0.00250,0.8628,Yang et al.
323.2,0.00253,,Gross et al.
323.2,0.00310,,Rajapakse et al.
323.2,0.00258,,Vakili-Nezhaad et al.
323.3,0.00251,0.8580,Stephenson
326.2,,0.8496,Rawat and Krishna
328.2,,0.8440,Arce et al.
333.6,0.00235,0.8580,Stephenson
343.2,,0.8120,Lozano
343.4,0.00225,0.8410,Stephenson
348.2,0.00246,,Gross et al.
353.3,0.00214,0.8410,Stephenson
361.0,,0.7955,Cho et al.
363.6,0.00222,0.8200,Stephenson
370.2,,0.7740,Rawat and Krishna
381.2,,0.7358,Rawat and Krishna
393.2,,0.7024,Rawat and Krishna
426.2,,0.6165,Rawat and Krishna
